"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"768"	10.1092	0	0	0	1	0	0	0	0	0.273855197	2.531792731	-1.261649159	0.199440155	-0.2415773	0.22868675	0.124406325	0.752610789	0.378188221	-0.101365753	-0.344764699	0.361943759	0.44040954
"774"	11.1202	0	0	0	1	0	0	0	0	0.51516909	1.318386685	-0.434314698	0.058794403	0.831272975	0.169487283	0.124406325	0.752610789	0.435750013	-0.087751365	-0.488896401	0.561404684	0.390436016
"775"	11.3611	0	0	0	1	0	0	0	0	0.569549686	1.443810868	-0.144270913	0.086169424	-0.45614817	0.275698091	0.124406325	0.754576057	0.462028222	-0.0802768	-0.272432923	0.619324371	0.389524645
"777"	11.0207	0	0	0	1	0	0	0	0	0.491377579	1.155043564	-0.623397765	0.210574419	-0.45614817	-0.046416655	0.124406325	0.752610789	0.425878304	-0.095759828	0.29771167	0.616428387	0.389220855
"783"	9.4974	0	0	0	1	0	0	0	0	0.131106133	0.749602601	-0.828783746	0.102443085	0.831272975	-0.734755553	0.124406325	0.753593423	0.263898866	-0.140874171	-0.326149904	0.390541605	0.389271487
"806"	11.5463	0	0	0	1	0	0	0	0	0.61373392	1.125875149	-0.95950741	0.096560087	0.402131234	0.141628711	0.124406325	0.750645521	0.958904203	-0.109641165	-0.366038751	0.840867177	0.89650022
"807"	13.998	0	0	0	1	0	0	0	0	1.191527749	-0.478387652	-1.3589288	0.05333256	0.402131234	0.153236449	0.12165738	0.752610789	1.148644924	0.095108542	-0.086816819	1.47291577	0.768503191
"815"	15.1544	0	0	0	1	0	0	0	0	1.463430727	0.157483785	-1.246645449	-0.115168593	-0.027008468	-0.08704374	0.124406325	-2.330894652	0.856294053	0.022765425	-0.192123377	1.490653675	0.440612067
"817"	15.0116	0	0	0	1	0	0	0	0	1.432841642	-0.075863531	-0.981328448	-0.30688587	0.187562402	1.43e-05	0.124406325	0.260311163	0.906764899	0.041451839	0.744466761	1.656448781	0.501116992
"826"	9.8489	0	0	0	0	1	0	0	0	0.287450346	1.111290942	-0.294126403	0.526959911	-0.2415773	0.116672073	0.123031853	-0.229040561	-0.214067928	-0.254594347	0.321113127	-1.666331308	0.08578486
"834"	8.9685	0	0	0	0	1	0	0	0	0.07332675	0.312076383	-0.238658777	-0.096703615	-1.528998445	0.125958264	0.124406325	0.263259065	-0.110855279	-0.115247089	0.773718582	-1.664521318	0.2377307
"851"	9.745	0	0	0	0	1	0	0	0	0.263658835	0.568758431	-1.2529878	-0.082496242	-2.172709018	0.380167739	0.124406325	0.261293797	0.02262134	-0.055717513	0.096140027	-1.666331308	0.272464071
"863"	8.5777	0	0	0	0	1	0	0	0	-0.021839292	-0.268375067	-0.791057937	-0.111779618	-2.172709018	0.223463268	0.124406325	0.262276431	-0.034245261	-0.145679248	0.102522243	-1.666331308	0.288109278
"877"	10.8107	0	0	0	0	1	0	0	0	0.521966664	0.434583724	-1.318723327	0.004215454	-0.45614817	0.252482614	0.124406325	0.261293797	0.170187157	-0.135535195	0.860942195	0.220040524	0.341120705
"897"	10.0232	0	0	0	0	1	0	0	0	0.33163458	0.551257382	-0.690411542	-0.13188973	1.474981509	0.304717438	0.123031853	0.260311163	0.056361263	-0.17798005	-0.224034454	-0.197705225	0.288413068
"909"	9.1532	0	0	0	0	1	0	0	0	0.117510984	0.224571139	-0.320278121	-0.131935794	-0.2415773	0.093456595	0.129904215	0.259328529	0.054646459	-0.290098533	0.17485402	-0.010552233	0.286387799
"913"	8.2706	0	0	0	0	1	0	0	0	-0.096612611	-0.180869824	-0.707832051	-0.125453968	0.187562402	0.113770138	0.124406325	0.259328529	-0.029796041	-0.340284902	0.992841317	-0.248022953	0.288109278
"922"	11.2148	0	0	0	0	1	0	0	0	0.620531494	0.169151151	-0.074176766	-0.106528352	1.68955238	0.032515968	0.123031853	0.261293797	0.333927745	-0.321331539	-0.425074245	0.270358252	0.288413068
"927"	10.8418	0	0	0	0	1	0	0	0	0.528764239	-0.151701409	-0.877098765	-0.111937551	0.187562402	0.189220439	0.123031853	-0.013843718	0.394919144	-0.281556172	-0.253286276	0.428913398	0.288058646
"931"	10.4699	0	0	0	0	1	0	0	0	0.440395771	0.309159541	-0.89631441	-0.125908024	-0.027008468	0.286145056	0.124406325	0.261293797	0.332398325	-0.318662052	0.082843745	0.2059226	0.288868754
"954"	9.9343	0	0	0	0	0	1	0	0	0.566150898	-0.568809737	1.263304787	-0.199754777	0.402131234	-0.161333267	0.811642572	-0.229040561	0.465504175	-0.161696175	0.599803207	0.515430931	0.541116063
"972"	13.6586	0	0	0	0	0	1	0	0	1.568793131	0.396664785	0.261353127	-0.106265131	1.045841807	-0.169458684	0.810268099	-0.723305454	0.677630038	-0.190259693	1.351309092	1.319790596	0.440612067
"976"	13.6443	0	0	0	0	0	1	0	0	1.565394344	0.209986932	0.551711236	-0.064320807	1.260412677	0.30239589	0.811642572	0.261293797	0.613672491	-0.189458847	-0.058628701	1.599977085	0.338892909
"982"	12.9699	0	0	0	0	0	1	0	0	1.385258621	0.650429992	0.701692455	-0.098625131	1.474981509	0.149173741	0.810268099	0.260311163	0.340277153	-0.239111318	0.061037842	1.448299903	0.136365964
"987"	8.9389	0	0	0	0	0	1	0	0	0.297646707	-0.291709799	1.737821561	-0.131363287	1.045841807	0.12653865	0.813017044	0.258345895	0.077912175	-0.427844098	0.159430332	0.489367072	0.237224383
"989"	8.7994	0	0	0	0	0	1	0	0	0.260260048	-0.743820225	1.57317191	-0.11341159	0.402131234	0.153236449	0.810268099	0.259328529	0.068874696	-0.455606771	0.694472738	0.415157472	0.237781332
