"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"153"	153	0.0094361719272454	-0.150709490790908	"normal"	"normal"	NA
"154"	154	0.0134790165720027	-0.416526032657612	"normal"	"normal"	NA
"155"	155	0.0111874741762951	-0.353818871540641	"normal"	"normal"	NA
"156"	156	0.0128496164572061	-0.458876988037393	"normal"	"normal"	NA
"157"	157	0.0301436259302921	-5.30661119283394	"outlier"	"outlier"	157
"158"	158	0.0548082920572541	1.48581373424973	"leverage"	"leverage"	158
"159"	159	0.0222149794739626	0.295072783230652	"normal"	"normal"	NA
"160"	160	0.0175696823761088	-0.35368063777753	"normal"	"normal"	NA
"161"	161	0.0181327543853176	-0.416104946533853	"normal"	"normal"	NA
"162"	162	0.0111672753706188	-0.738792131462434	"normal"	"normal"	NA
"163"	163	0.0130837038091022	-0.205569168904349	"normal"	"normal"	NA
"164"	164	0.00790570885702771	-0.852380489657612	"normal"	"normal"	NA
"165"	165	0.0148969766785123	-0.861759892365093	"normal"	"normal"	NA
"166"	166	0.0118446821328386	-0.611451475741058	"normal"	"normal"	NA
"167"	167	0.0161798395284013	-0.872579087698265	"normal"	"normal"	NA
"168"	168	0.0117521044882665	-0.933262715905308	"normal"	"normal"	NA
"169"	169	0.0238797426645881	-0.514677280420907	"normal"	"normal"	NA
"170"	170	0.0169294730829843	-0.641844559452843	"normal"	"normal"	NA
"171"	171	0.0173950403654039	-0.675090847682679	"normal"	"normal"	NA
"172"	172	0.0170880431631844	-0.734828677090158	"normal"	"normal"	NA
"173"	173	0.0150219283795828	-0.385129794589405	"normal"	"normal"	NA
"174"	174	0.0119805589718253	-0.46892000748263	"normal"	"normal"	NA
"175"	175	0.00820938567634276	-0.551865348430792	"normal"	"normal"	NA
"176"	176	0.00979076131659365	-0.461632132770322	"normal"	"normal"	NA
"177"	177	0.0118599812993455	-0.651797597143984	"normal"	"normal"	NA
"178"	178	0.00911306236556353	-0.979692657448453	"normal"	"normal"	NA
"179"	179	0.0121784330024591	-1.06581516944505	"normal"	"normal"	NA
"180"	180	0.0109522231490786	-1.03691576062095	"normal"	"normal"	NA
"181"	181	0.0199096887492634	-1.33025382673182	"normal"	"normal"	NA
"182"	182	0.0130403168854048	-1.22439225434238	"normal"	"normal"	NA
"183"	183	0.0167684437136405	-1.22209428843443	"normal"	"normal"	NA
"184"	184	0.0110995162621266	-0.98232256911745	"normal"	"normal"	NA
"185"	185	0.0106043070355125	-0.70288758127177	"normal"	"normal"	NA
"186"	186	0.00771755218559187	-0.56869888708873	"normal"	"normal"	NA
"187"	187	0.00731476072647698	-0.57557018542303	"normal"	"normal"	NA
"188"	188	0.00755587800664772	-0.633251386018594	"normal"	"normal"	NA
"189"	189	0.00945151167168046	-0.734831536862103	"normal"	"normal"	NA
"190"	190	0.0077565156621609	-0.426508710888974	"normal"	"normal"	NA
"191"	191	0.0110473839055703	-0.259152552540664	"normal"	"normal"	NA
"192"	192	0.010765412680363	-0.241779672072315	"normal"	"normal"	NA
"193"	193	0.00863339021507246	-0.185601661788315	"normal"	"normal"	NA
