deprate,kerfeed,kertemp,waterph,waterlev,brinelev
6.8162,7.45,32.4,11.3,32.8431,37.1384
6.723,7.35,31.99,12.3,33.0804,36.8809
6.699,7.32,31.49,12.3,34.9243,31.2135
6.6458,7.26,31.52,12.4,35.288,29.7276
6.5759,7.19,32.27,12.4,34.5924,34.8915
6.2886,6.87,32.5,12.5,33.1142,37.561
6.0645,6.63,31.98,11.5,32.829,37.4099
6.1717,6.75,31.77,11.5,31.0237,37.9017
6.1395,6.71,32.11,12.3,31.2444,37.4542
6.3884,6.98,32.11,12.1,32.3462,37.8934
6.4161,7.01,32.68,12.1,32.9236,36.8889
6.2179,6.8,32.78,12.3,32.6893,37.2248
6.1713,6.75,32.09,12.3,32.6659,37.4571
6.2281,6.81,32.08,12.4,33.8904,37.3925
6.2196,6.8,32.42,12.6,33.6869,37.1552
6.5719,7.18,32.28,12.4,32.2719,37.0365
7.0196,7.67,32.54,12.4,32.3566,37.4812
7.1589,7.82,32.31,12.3,33.0042,37.4247
7.304,7.98,32.5,12.6,31.6778,37.9931
7.464,8.16,32.56,12.6,32.4945,37.7676
7.1213,7.78,33.24,12.4,32.1902,34.5979
7.2582,7.93,32.86,12.5,27.2372,32.8929
7.5728,8.28,33.2,12.7,20.5453,36.0783
7.5092,8.21,33.51,12.7,36.3484,35.8936
7.4433,8.14,33.46,12.3,44.6226,35.5447
7.2732,7.95,33.57,12.3,40.2312,35.7332
3.0965,3.38,33.08,12.4,35.4806,37.3771
4.0177,4.39,31.42,12.4,34.531,38.1599
5.3902,5.89,31.22,12.4,33.8497,36.4953
5.5255,6.04,31.53,12.4,31.9559,36.6623
5.7068,6.24,30.59,12.4,29.4093,36.1952
5.927,6.48,28.23,12.4,28.3714,35.7204
6.6195,7.24,27.66,12.1,33.2716,36.3531
7.2604,7.94,28.59,12.1,32.1432,36.7276
7.4889,8.19,30.44,12,33.5103,36.8815
7.3001,7.98,26.3,11.9,47.3462,36.5108
7.0499,7.71,29.11,11.9,37.4328,36.8875
7.0962,7.76,30.48,11.9,31.5039,37.2746
7.315,8,31.22,11.9,28.2269,37.6051
7.7137,8.43,31.58,11.8,33.943,37.1939
7.9585,8.7,31.76,11.8,43.3419,37.1778
8.152,8.91,31.79,11.8,38.583,37.308
7.889,8.62,31.46,12.3,34.7428,37.457
8.3252,9.1,32.1,12.2,32.8218,37.003
8.3619,9.14,32.15,12.2,28.2319,37.1526
8.4087,9.19,31.84,11.6,25.0454,37.1276
8.3444,9.12,31.81,11.7,42.2397,36.7938
7.9958,8.74,31.27,11.7,34.6337,36.8208
7.3443,8.03,30.53,11.7,29.9594,36.5017
7.0351,7.69,30.99,11.6,25.4614,36.637
6.9247,7.57,31.76,11.6,44.2294,36.6484
6.1796,6.75,31.95,11.6,40.0534,36.0313
6.6552,7.27,32.07,7.9,38.3814,36.2456
6.6848,7.31,31.42,7.9,39.373,36.7973
6.9353,7.58,31.86,11.3,37.0431,36.9467
7.3868,8.07,31.61,11.6,30.2515,37.0661
8.2093,8.97,31.92,11.7,30.4773,37.1475
8.3708,9.15,32.97,11.7,41.1581,36.6439
8.5024,9.29,33.66,11.8,32.1065,36.6806
8.613,9.41,33.7,11.9,25.982,36.5962
8.638,9.44,33.62,11.8,35.9475,36.7525
8.572,9.37,33.74,11.9,44.5185,36.4814
8.3497,9.13,33.56,12,37.0711,36.5771
8.2085,8.97,32.93,12,32.2224,36.4922
8.1057,8.86,33.4,12,27.6926,36.9766
8.1259,8.88,33.16,12,21.4535,36.4305
8.0913,8.84,33.68,12.1,35.4433,37.0003
8.3873,9.17,33.99,12.2,44.4878,36.8423
8.1894,8.95,33.44,12.2,42.6438,35.7932
8.1999,8.96,33.05,12.2,38.4616,35.7601
8.2858,9.06,33.2,12.2,34.3941,36.0978
8.4834,9.27,33.02,12.2,30.4234,36.5362
8.5474,9.34,31.79,12.4,26.3209,35.9037
8.4415,9.23,32.15,12.3,29.0166,36.5553
8.6977,9.51,32.09,12.3,39.1709,36.3995
9.0415,9.88,33.95,12.5,35.6848,36.6487
8.9995,9.84,34.11,12.3,40.2769,36.2794
7.2571,7.93,34.42,12.2,41.963,36.6539
8.7449,9.56,33.86,12.3,39.4388,37.4444
8.3939,9.17,33.12,12.3,34.8928,37.4692
8.2779,9.05,32.63,12.4,31.0488,37.5069
6.7092,7.33,31.1,12.4,43.4716,37.1136
4.6547,5.09,31.36,12.3,46.8868,36.1229
5.5038,6.02,32.25,12.3,45.7722,36.0139
8.522,9.31,31.75,12.3,39.8715,36.9461
8.6876,9.5,31.7,12.3,33.704,37.1007
8.311,9.08,30.51,12.4,27.9775,37.1069
8.3776,9.16,30.95,12.1,35.5379,36.8871
8.4946,9.28,32.64,12.1,34.9651,37.06
8.3369,9.11,32.71,12.2,29.2282,37.1932
8.44,9.22,33.28,12.1,33.2664,37.2921
8.6089,9.41,33.3,12.1,45.1053,37.4238
8.6388,9.44,32.63,12.1,40.986,35.9939
8.4238,9.21,32.17,12.2,34.9559,36.6934
8.0719,8.82,32.16,12.2,30.9797,37.6212
7.8773,8.61,31.01,12.2,26.9314,36.6546
8.0909,8.84,31.71,12.4,32.9444,37.3465
8.0047,8.75,32.42,12.2,45.977,36.8657
6.7984,7.43,33.24,12.1,43.197,36.6205
7.1165,7.78,32.66,12.2,39.6282,36.7575
6.9585,7.61,32.73,12.1,36.7805,36.3768
7.4326,8.12,32.51,12.2,34.0653,36.7083
7.2561,7.93,31.78,12,39.7641,36.2023
7.083,7.74,31.72,11.9,43.3448,36.6387
7.0854,7.74,30.75,12,42.6042,36.3259
7.2709,7.95,31.54,11.7,44.8225,36.5465
7.6361,8.35,31.99,11.8,38.9936,36.3369
7.5594,8.26,32.59,11.7,34.1618,36.3766
7.5149,8.21,32.21,11.8,29.9302,36.3415
8.1557,8.91,32.65,11.9,23.4957,36.6437
8.2265,8.99,32.11,11.9,46.5202,35.7439
8.1667,8.93,32.31,12,40.4955,35.9092
8.2149,8.98,33.65,12.2,34.9401,35.8505
8.3246,9.1,33.65,12.2,31.8853,36.04
7.3182,8,33.94,11.8,33.8342,35.5308
6.4082,7,33.1,11.3,33.6967,35.8487
5.6904,6.22,32.1,12.1,30.4779,35.5836
5.245,5.73,32.47,11.5,28.6777,35.6276
5.3988,5.9,31.97,11.7,27.4765,36.129
5.38,5.88,31.52,11.5,26.3543,35.4743
5.724,6.26,31.96,11.8,25.1989,35.8868
5.5397,6.05,31.63,11.6,24.0208,34.8436
0,0,30.84,11.6,25.143,21.757
0,0,31.32,11.6,25.5952,71.1551
0,0,31.14,11.6,25.8046,95.135
0,0,31.43,11.6,25.728,36.8312
0,0,31.3,11.6,25.6118,36.9742
0,0,31.02,11.6,25.4107,39.4372
4.2369,4.63,33.93,11.4,40.1279,35.8146
4.513,4.93,33.64,11.5,47.5886,36.5519
4.8932,5.35,33.87,11.5,44.4362,37.178
5.0183,5.49,33.76,11.5,43.3435,36.9311
5.2412,5.73,34.06,11.8,40.5124,37.2285
5.4166,5.92,33.41,11.9,39.7351,36.7353
5.9577,6.51,31.96,11.9,37.863,36.2416
7.0038,7.66,31.5,11.8,35.4467,35.7181
6.7095,7.33,32.12,11.9,30.8027,36.5691
6.8658,7.5,32.87,12.2,26.081,36.841
7.0897,7.75,33.2,12,20.7919,36.588
0.3626,0.2,32.01,12,19.941,31.5593
0,0,31.57,12,21.7162,29.3413
0,0,31.4,12,21.4648,40.088
0,0,31.29,12,21.1221,42.9611
0,0,31.2,12,21.1576,41.3639
0,0,31.6,12,21.2315,41.1394
0,0,31.46,12,21.3128,41.0911
0,0,31.69,12,21.4399,39.8366
0,0,31.74,12,21.3689,41.7561
0,0,31.56,12,21.1182,45.3732
0,0,31.79,12,20.6044,47.7226
0,0,32.03,12,20.5536,47.2926
0,0,32.39,12,20.3537,47.1408
0,0,32.76,12,20.1851,47.227
0,0,32.7,12,20.1727,47.2991
0,0,32.9,12,20.1369,47.122
0,0,32.83,12,20.1055,47.0215
0,0,32.39,12,20.2471,47.0241
1.8451,1.02,32.68,12,19.8491,47.2145
11.9298,6.61,34.62,12,14.9821,40.2649
13.3989,7.42,34.59,11.7,15.3132,36.6977
13.9058,7.7,35.53,12.4,23.0413,36.9103
10.1433,5.62,35.83,11.5,26.4889,36.0667
11.3691,6.3,37.28,11.9,25.3848,36.3594
11.3955,6.31,37.62,11.5,22.8724,36.5131
9.3807,5.2,36.76,11.8,18.2543,36.466
9.7693,5.41,36.85,11.5,15.8347,36.9805
12.6526,7.01,36.28,11.4,26.4456,37.6943
14.4023,7.98,35.69,11.5,25.4003,37.4731
15.3214,8.49,35.25,11.3,22.4592,37.5009
