DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
7.1078,1,0,0,0,0,0,0,0,4.9809,29.6461,38.0278,49.1636,11.30000019,47.93,14,79.98,690.29,16.67,66.38,31.91,720.1,-1.445124695,-1.691378645,-0.449117157,1.088975508,-0.539021053,0.160638995,-2.101191343,0.089856626,-0.741099551,-0.278267393,0.887782524,-0.94781146,0.860031334
10.7505,1,0,0,0,0,0,0,0,7.5336,30.069,35.7656,49.7773,11.89999962,48.95,14,80.01,719.94,22.64,53.59,47.56,720.15,0.175160192,-1.558721216,-0.640632809,1.16302848,0.312598043,0.252416599,-2.101191343,0.094300682,-0.388462138,0.211718952,-0.089423185,-0.257993803,0.86084102
10.632,1,0,0,0,0,0,0,0,7.4505,29.8193,34.6911,59.9787,11.89999962,47.39,14,80,727.92,28.17,56.58,50.07,720.05,0.122413816,-1.637048385,-0.731598933,2.39399473,0.312598043,0.112050852,-2.101191343,0.09281933,-0.293553317,0.665592401,0.139024435,-0.147358511,0.859221648
10.141,1,0,0,0,0,0,0,0,7.1065,28.6229,30.8678,58.5789,12,58.09,14.04,80.01,767.56,50.4,50.1,47.71,739.82,-0.0959346,-2.01234124,-1.055275792,2.225085898,0.454535233,1.074815911,-2.088631472,0.094300682,0.177898523,2.49011442,-0.35607275,-0.251382132,1.179371422
10.1127,1,0,0,0,0,0,0,0,7.0866,28.3385,25.9895,60.0551,12,59.39,14,79.98,800.41,69.34,51.21,45.16,750.03,-0.108565802,-2.101553283,-1.468267924,2.403213643,0.454535233,1.191787367,-2.101191343,0.089856626,0.568594611,4.044610464,-0.271264436,-0.363780537,1.344709266
10.79,1,0,0,0,0,0,0,0,7.5613,28.0123,20.5281,59.2747,12.19999981,59.15,14,79.99,762.06,32.77,54.54,47.54,749.95,0.192742317,-2.203877363,-1.930624734,2.309045582,0.738408265,1.170192637,-2.101191343,0.091337978,0.112485175,1.043136319,-0.016839493,-0.258875359,1.343413769
12.3874,1,0,0,0,0,0,0,0,8.6807,28.5183,24.9961,59.6777,12.19999981,59.3,14,80,773.18,32.22,54.53,53.85,749.94,0.903263296,-2.045152702,-1.552368201,2.357674143,0.738408265,1.183689343,-2.101191343,0.09281933,0.244739071,0.997995198,-0.017603532,0.019255594,1.343251832
12.6209,1,0,0,0,0,0,0,0,8.8443,29.2859,27.2672,59.0233,12.30000019,41.92,14,79.99,798.78,49.95,60.57,56.28,749.91,1.00710574,-1.804368018,-1.360099085,2.278710048,0.880345455,-0.380129043,-2.101191343,0.091337978,0.549208474,2.453180776,0.443875943,0.126364661,1.34276602
11.9982,1,0,0,0,0,0,0,0,8.4079,29.2244,28.6234,59.3458,12.30000019,36.39,14,79.99,826.96,80.35,63.62,54.14,749.92,0.730107924,-1.823659652,-1.245284512,2.317624963,0.880345455,-0.87770762,-2.101191343,0.091337978,0.884362682,4.948253623,0.676907797,0.032038157,1.342927957
11.3715,1,0,0,0,0,0,0,0,7.9688,29.2052,36.9699,59.3029,12.30000019,24.49,14,80,798.15,62.22,66.45,50.74,749.97,0.451396327,-1.829682406,-0.538677942,2.312448375,0.880345455,-1.948446331,-2.101191343,0.09281933,0.541715672,3.460238139,0.893130796,-0.117826382,1.343737643
11.4221,1,0,0,0,0,0,0,0,8.0042,29.0182,32.9389,58.2811,12.10000038,15.28,14,80.01,778.36,40.39,70.63,52.14,749.92,0.473865903,-1.88834152,-0.87993848,2.189151443,0.596472423,-2.777144106,-2.101191343,0.094300682,0.306346552,1.668546026,1.212499042,-0.056117454,1.342927957
11.4839,1,0,0,0,0,0,0,0,8.0475,29.151,28.4277,58.7274,12.30000019,27.33,14,79.99,768.17,29.41,76.71,52.35,750.07,0.501349875,-1.846684138,-1.261852284,2.243004859,0.880345455,-1.692908689,-2.101191343,0.091337978,0.185153458,0.767365109,1.677034672,-0.046861115,1.345357015
11.7454,1,0,0,0,0,0,0,0,8.2308,29.4428,24.3199,58.4456,12.30000019,14.56,14,80,765.41,25.25,72.64,53.02,749.96,0.617696574,-1.755150826,-1.609614635,2.209001067,0.880345455,-2.841928297,-2.101191343,0.09281933,0.152327851,0.425934088,1.366070854,-0.017328985,1.343575706
13.6707,1,0,0,0,0,0,0,0,9.58,30.3574,17.8729,59.4183,12.30000019,14.51,14,86.68,778.4,25.39,59.23,59.19,750.08,1.474079373,-1.468254433,-2.155411383,2.326373277,0.880345455,-2.846427199,-2.101191343,1.082362508,0.306822285,0.437424555,0.341494735,0.254631075,1.345518952
