DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
10.3748,7.2704,32.9375,36.772,58.9055,12.10000038,47.7652078,15.84085087,80.02081914,745.8454199,18.63530937,82.04057786,46.13007958,749.8560342
0.9022,0.6322,30.0078,35.5959,58.3191,12.10000038,62.47721488,2.155227204,78.80768551,296.0259013,7.057342333,27.96927245,4.773655336,440.3327289
6.1791,4.3301,29.5182,44.7233,61.3977,12.10000038,52.0052515,12.43233769,79.45545697,693.9250461,24.85655752,52.39436008,13.70536891,637.9577146
7.1078,4.9809,29.6461,38.0278,49.1636,11.30000019,47.92639302,14.00114607,79.98177735,690.2882673,16.66575219,66.38323029,31.9103116,720.0952296
10.7505,7.5336,30.069,35.7656,49.7773,11.89999962,48.95418253,14.004225,80.00762764,719.9379478,22.6370096,53.58981878,47.56377636,720.1457435
10.632,7.4505,29.8193,34.6911,59.9787,11.89999962,47.3864118,13.99705509,79.9992147,727.9177839,28.16712417,56.58188943,50.07117751,720.0524774
10.141,7.1065,28.6229,30.8678,58.5789,12,58.08920739,14.03929227,80.00695801,767.5595791,50.39684058,50.09718155,47.71048722,739.819212
10.1127,7.0866,28.3385,25.9895,60.0551,12,59.38916362,14.00307329,79.98396908,800.4052914,69.3362395,51.21123326,45.15900773,750.0316599
10.79,7.5613,28.0123,20.5281,59.2747,12.19999981,59.15136365,14.00287583,79.98651247,762.0613306,32.77433702,54.54418897,47.53671056,749.9484054
12.3874,8.6807,28.5183,24.9961,59.6777,12.19999981,59.29876787,14.00285705,79.99750685,773.1793825,32.22332971,54.52740173,53.84531038,749.9398799
12.6209,8.8443,29.2859,27.2672,59.0233,12.30000019,41.92433035,14.00041476,79.99292854,798.7808691,49.95185192,60.57232609,56.27537358,749.9139828
11.9982,8.4079,29.2244,28.6234,59.3458,12.30000019,36.38758654,14.00169899,79.99367241,826.9639784,80.35419072,63.62224395,54.13878746,749.9182116
11.3715,7.9688,29.2052,36.9699,59.3029,12.30000019,24.49329053,14.00031495,80.00176872,798.1484606,62.21706175,66.45361535,50.73717692,749.9705943
11.4221,8.0042,29.0182,32.9389,58.2811,12.10000038,15.27874197,13.99758206,80.01179964,778.3637117,40.38958878,70.6303387,52.14329908,749.9244406
11.4839,8.0475,29.151,28.4277,58.7274,12.30000019,27.32793529,13.99927411,79.99319551,768.1711999,29.40837652,76.71149153,52.34982276,750.070429
11.7454,8.2308,29.4428,24.3199,58.4456,12.30000019,14.555652,14.00413236,80.00060144,765.4100491,25.25215062,72.64007566,53.01651649,749.9627757
13.6707,9.58,30.3574,17.8729,59.4183,12.30000019,14.50678362,13.99933938,86.68154592,778.4013662,25.39289167,59.23421334,59.18588067,750.0845058
13.9319,9.763,30.3121,12.7769,58.3982,12.30000019,34.94425972,13.99845649,80.00313655,780.1164018,23.81396644,60.74173701,61.1236556,749.9574853
13.7932,9.6658,30.6157,16.51,58.7678,12.30000019,15.185601,14.00014077,79.99781293,780.6020494,23.05072754,62.38115289,62.40379633,750.0324734
13.6176,9.5427,29.9589,22.3937,58.2178,12.30000019,16.52746539,13.99818159,80.00167646,782.2483047,22.591272,64.19329834,64.47014252,749.9727233
13.3713,9.3702,30.2904,23.5852,58.4594,12.30000019,15.89710487,13.9981321,79.99738183,778.2554029,21.1254693,65.17088276,62.15342115,749.9502724
13.7495,9.6352,30.5021,23.4437,58.7127,12.30000019,15.68189774,14.00192869,79.99865894,780.8663208,21.21733208,65.99715766,62.97121844,749.9565674
13.7862,9.6609,30.2929,27.736,58.7447,12.30000019,16.28497997,15.28660725,79.98676132,783.643281,21.4331833,67.14450504,64.85116811,749.9439213
