DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH
6.699,7.32,31.49,34.9243,31.2135,12.30000019
6.6458,7.26,31.52,35.288,29.7276,12.39999962
6.5759,7.19,32.27,34.5924,34.8915,12.39999962
6.2886,6.87,32.5,33.1142,37.561,12.5
6.0645,6.63,31.98,32.829,37.4099,11.5
6.1717,6.75,31.77,31.0237,37.9017,11.5
6.1395,6.71,32.11,31.2444,37.4542,12.30000019
6.3884,6.98,32.11,32.3462,37.8934,12.10000038
6.4161,7.01,32.68,32.9236,36.8889,12.10000038
6.2179,6.8,32.78,32.6893,37.2248,12.30000019
6.1713,6.75,32.09,32.6659,37.4571,12.30000019
6.2281,6.81,32.08,33.8904,37.3925,12.39999962
6.2196,6.8,32.42,33.6869,37.1552,12.60000038
6.5719,7.18,32.28,32.2719,37.0365,12.39999962
7.0196,7.67,32.54,32.3566,37.4812,12.39999962
7.1589,7.82,32.31,33.0042,37.4247,12.30000019
7.304,7.98,32.5,31.6778,37.9931,12.60000038
7.464,8.16,32.56,32.4945,37.7676,12.60000038
7.1213,7.78,33.24,32.1902,34.5979,12.39999962
7.2582,7.93,32.86,27.2372,32.8929,12.5
7.5728,8.28,33.2,20.5453,36.0783,12.69999981
7.5092,8.21,33.51,36.3484,35.8936,12.69999981
7.4433,8.14,33.46,44.6226,35.5447,12.30000019
7.2732,7.95,33.57,40.2312,35.7332,12.30000019
3.0965,3.38,33.08,35.4806,37.3771,12.39999962
4.0177,4.39,31.42,34.531,38.1599,12.39999962
5.3902,5.89,31.22,33.8497,36.4953,12.39999962
5.5255,6.04,31.53,31.9559,36.6623,12.39999962
5.7068,6.24,30.59,29.4093,36.1952,12.39999962
5.927,6.48,28.23,28.3714,35.7204,12.39999962
6.6195,7.24,27.66,33.2716,36.3531,12.10000038
7.2604,7.94,28.59,32.1432,36.7276,12.10000038
7.4889,8.19,30.44,33.5103,36.8815,12
7.3001,7.98,26.3,47.3462,36.5108,11.89999962
7.0499,7.71,29.11,37.4328,36.8875,11.89999962
7.0962,7.76,30.48,31.5039,37.2746,11.89999962
7.315,8,31.22,28.2269,37.6051,11.89999962
7.7137,8.43,31.58,33.943,37.1939,11.80000019
7.9585,8.7,31.76,43.3419,37.1778,11.80000019
8.152,8.91,31.79,38.583,37.308,11.80000019
7.889,8.62,31.46,34.7428,37.457,12.30000019
8.3252,9.1,32.1,32.8218,37.003,12.19999981
8.3619,9.14,32.15,28.2319,37.1526,12.19999981
8.4087,9.19,31.84,25.0454,37.1276,11.60000038
8.3444,9.12,31.81,42.2397,36.7938,11.69999981
7.9958,8.74,31.27,34.6337,36.8208,11.69999981
7.3443,8.03,30.53,29.9594,36.5017,11.69999981
